x, y, 
-1.9999418274286358, -0.500000994224925, 
-1.9999418560307254, -0.500000994151325, 
-1.9999418652981107, -0.5000009941525637, 
-1.9999418640653823, -0.5000009942443985, 
-1.9999418571048955, -0.5000009942378625, 
-1.999941845259658, -0.5000009942307861, 
-1.9999418244648033, -0.5000009942053499, 
-1.9999418055118658, -0.5000009942464205, 
-1.9999418131898814, -0.5000009941452455, 
-1.999941824232294, -0.5000009942607833, 
-1.9999418355034946, -0.5000009941755265, 
-1.9999418346389986, -0.5000009942680809, 
-1.999941828057647, -0.5000009942618867, 
-1.9999418165896934, -0.5000009942551074, 
-1.9999418033559195, -0.5000009942299442, 
-1.9999417939958894, -0.5000009942811913, 
-1.9999417976406741, -0.5000009942867684, 
-1.9999418149427637, -0.5000009942907988, 
-1.9999418265373181, -0.5000009942059874, 
-1.999941825977257, -0.5000009942983424, 
-1.9999418197011598, -0.5000009942920112, 
-1.9999418085375649, -0.5000009942850999, 
-1.9999417884208222, -0.5000009942598317, 
